,member_casual,ride_hour,total_rides
0,casual,0,9997
1,casual,1,6680
2,casual,2,4442
3,casual,3,2792
4,casual,4,2004
5,casual,5,2231
6,casual,6,5080
7,casual,7,10039
8,casual,8,16272
9,casual,9,19326
10,casual,10,23651
11,casual,11,28836
12,casual,12,33412
13,casual,13,36742
14,casual,14,39641
15,casual,15,42225
16,casual,16,42690
17,casual,17,45360
18,casual,18,43241
19,casual,19,34455
20,casual,20,24527
21,casual,21,18784
22,casual,22,16568
23,casual,23,13620
24,member,0,23251
25,member,1,14043
26,member,2,9214
27,member,3,5924
28,member,4,5471
29,member,5,13788
30,member,6,40523
31,member,7,82415
32,member,8,121189
33,member,9,99030
34,member,10,83798
35,member,11,89318
36,member,12,99474
37,member,13,105441
38,member,14,113672
39,member,15,124159
40,member,16,138698
41,member,17,170183
42,member,18,161309
43,member,19,121148
44,member,20,85425
45,member,21,62396
46,member,22,50248
47,member,23,36670
